year,month_number,sport,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,12,E - Rainbow Six,10729.0,-1909.0,36121.0,-3802.0,-70.3,-49.79,Normal
2018,12,E - Hearthstone,7303.0,1360.0,100893.0,-6448.0,-92.76,-121.09,Normal
2018,12,E - Dota2,11414381.0,180948.0,30703636.0,797467.0,-62.82,-77.31,Normal
2018,12,E - PUBG,214.0,190.0,4562.0,473.0,-95.31,-59.83,Normal
2018,12,E - Starcraft: Brood War,22494.0,2735.0,53839.0,-728.0,-58.22,-475.69,Normal
2018,12,E - Warcraft 3,65020.0,-3748.0,49925.0,-5560.0,30.24,-32.59,Normal
2018,12,Tennis,20954787.513501063,56269.0,46729514.99930656,762898.0,-55.16,-92.62,Normal
2018,12,E - Artifact,39914.0,3399.0,6790.0,450.0,487.84,655.33,Anomaly
2018,12,E - Call of Duty,27063.0,942.0,342.0,-320.0,7813.16,-394.38,Normal
2018,12,E - Clash Royale,4.0,-9.0,631.0,319.0,-99.37,-102.82,Normal
2018,12,E - CS:GO,19077663.0,656937.0,22216905.0,608368.0,-14.13,7.98,Normal
2018,12,E - Team Fortress 2,4112.0,-474.0,10137.0,-506.0,-59.44,-6.32,Normal
2019,1,E - Starcraft2,342851.0,-8797.0,364175.0,-12609.0,-5.86,-30.23,Normal
2019,1,E - Arena of Valor,140.0,140.0,7532.0,1826.0,-98.14,-92.33,Normal
2019,1,E - Overwatch,440532.0,5236.0,1403846.0,-74402.0,-68.62,-107.04,Normal
2019,1,Soccer,64278795.020717174,2303544.0,79658760.61309442,2670822.0,-19.31,-13.75,Normal
2019,1,E - CSGO,11539445.0,87600.0,,,,,Normal
2019,1,E - Rocket League,5870.0,1443.0,11711.0,735.0,-49.88,96.33,Normal
2019,1,E - League of Legends,6643906.0,70178.0,3572992.0,73864.0,85.95,-4.99,Normal
2019,1,E - Honor of Kings,196303.0,-4138.0,198588.0,-3187.0,-1.15,29.84,Normal
2019,1,E - Other Esports,39558.0,1255.0,4782.0,-1220.0,727.23,-202.87,Normal
2019,1,E - Rainbow Six,48012.0,3254.0,10729.0,-1909.0,347.5,-270.46,Normal
