year,month_number,region,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2019,10,Rest Of Europe,52296624.20363058,983524.0,42755600.0607205,-75054.0,22.32,-1410.42,Anomaly
2019,10,South Korea,10310471.243697494,186092.0,17634831.972841144,404615.0,-41.53,-54.01,Normal
2019,10,Latin America,10187212.573829472,3024.0,7445693.442872524,146577.0,36.82,-97.94,Normal
2019,10,China,38491342.572913274,1122771.0,31150757.337485164,1296859.0,23.56,-13.42,Normal
2019,10,Japan,16018396.738085747,-311058.0,6075437.695983693,-55992.0,163.66,455.54,Normal
2019,10,Italy,6125195.267531633,97459.0,6145071.6133980155,244320.0,-0.32,-60.11,Normal
2019,10,Nordic,12869544.360406399,366516.0,12025114.554617167,168350.0,7.02,117.71,Normal
2019,10,Rest Of the World,6464940.916505396,389180.0,5500282.243537724,-7822.0,17.54,-5075.45,Anomaly
2019,10,Rest of Asia,5237058.027035788,287394.0,4710875.986228347,-7249.0,11.17,-4064.6,Anomaly
2019,10,Russia & CIS,65545342.41160452,2067271.0,68279382.77564108,953610.0,-4.0,116.78,Normal
2019,10,Canada,16496340.346250534,294230.0,11306991.836353943,222779.0,45.9,32.07,Normal
2019,11,Rest Of Europe,37090102.94267285,693815.0,52296624.20363058,983524.0,-29.08,-29.46,Normal
2019,11,South Korea,6183170.874877542,159683.0,10310471.243697494,186092.0,-40.03,-14.19,Normal
2019,11,Latin America,6391969.996765599,-26277.0,10187212.573829472,3024.0,-37.25,-968.95,Anomaly
2019,11,China,32712094.74471259,970146.0,38491342.572913274,1122771.0,-15.01,-13.59,Normal
2019,11,Japan,7980579.475978613,487185.0,16018396.738085747,-311058.0,-50.18,-256.62,Normal
2019,11,Italy,4893667.000548363,-176054.0,6125195.267531633,97459.0,-20.11,-280.64,Normal
2019,11,Nordic,9151289.472923875,261898.0,12869544.360406399,366516.0,-28.89,-28.54,Normal
2019,11,Rest Of the World,4065192.293932095,125837.0,6464940.916505396,389180.0,-37.12,-67.67,Normal
2019,11,Rest of Asia,5578065.18310542,-109020.0,5237058.027035788,287394.0,6.51,-137.93,Normal
2019,11,Russia & CIS,63937187.64265931,-797438.0,65545342.41160452,2067271.0,-2.45,-138.57,Normal
2019,11,Canada,10032006.319392137,490688.0,16496340.346250534,294230.0,-39.19,66.77,Normal
2019,12,Rest Of Europe,26798300.432865113,376199.0,37090102.94267285,693815.0,-27.75,-45.78,Normal
2019,12,South Korea,2605010.9904836863,100983.0,6183170.874877542,159683.0,-57.87,-36.76,Normal
2019,12,Latin America,4074981.0723752975,113818.0,6391969.996765599,-26277.0,-36.25,-533.15,Anomaly
2019,12,China,25746413.109227568,1114532.0,32712094.74471259,970146.0,-21.29,14.88,Normal
2019,12,Japan,5270119.887244225,46672.0,7980579.475978613,487185.0,-33.96,-90.42,Normal
2019,12,Italy,3027521.4112825394,201023.0,4893667.000548363,-176054.0,-38.13,-214.18,Normal
2019,12,Nordic,7628683.465257764,121034.0,9151289.472923875,261898.0,-16.64,-53.79,Normal
2019,12,Rest Of the World,5539203.144882202,318948.0,4065192.293932095,125837.0,36.26,153.46,Normal
2019,12,Rest of Asia,5723270.126573235,107841.0,5578065.18310542,-109020.0,2.6,-198.92,Normal
2019,12,Russia & CIS,55187462.87221062,-369614.0,63937187.64265931,-797438.0,-13.68,-53.65,Normal
2019,12,Canada,5476695.366182068,289812.0,10032006.319392137,490688.0,-45.41,-40.94,Normal
